minFingers,maxFingers,startAngle,endAngle,startxvel,endxvel
1,1,  90.00,  82.66,  0.206, -0.022
1,1,  82.98,  77.82, -0.015, -0.015
1,1,  76.89,  83.08, -0.012,  0.001
1,1,  76.73,  80.58, -0.019, -0.012
1,1,  82.95,  90.00, -0.006, -0.022
1,1,  90.00,  76.22, -0.010, -0.024
1,1,  90.00,  90.00, -0.027, -0.020
1,1,  90.00,  90.00, -0.026, -0.009
1,1,  90.00,  90.00,  0.030,  0.006
1,1,  90.00,  90.00,  0.005, -0.027
1,1,  90.00,  90.00, -0.030, -0.020
1,1,  90.00,  90.00, -0.012, -0.004
1,1,  90.00,  90.00,  0.062,  0.000
